date/time,PINALat,GILLlat,ClosestStation,Elevation [deg],ELFINeflux [erg/cm^2/s],ELFINenergy [keV]
2022-09-04/04:20:56,53.346,53.3868,gill,10.338,21.5842,3.767
2022-09-04/04:20:57,53.346,53.2513,gill,9.996,24.3465,4.096
2022-09-04/04:20:58,53.1914,53.243,gill,10.1227,25.4067,4.096
2022-09-04/04:20:59,53.1914,53.0918,gill,9.72545,24.8825,4.096
2022-09-04/04:21:00,53.0487,53.0918,gill,9.72545,24.8825,4.096
2022-09-04/04:21:01,53.0487,53.0918,gill,9.72545,24.8825,4.096
2022-09-04/04:21:02,52.9163,52.9074,gill,9.36468,20.5603,3.767
2022-09-04/04:21:03,52.9163,52.9074,gill,9.36468,20.5603,3.767
2022-09-04/04:21:04,52.7932,52.9074,gill,9.36468,20.5603,3.767
2022-09-04/04:21:05,52.7932,52.7206,gill,8.8796,17.9595,3.442
2022-09-04/04:21:06,52.6783,52.694,gill,8.91437,17.3025,3.442
2022-09-04/04:21:07,52.6783,52.664,gill,8.93504,14.9575,3.185
2022-09-04/04:21:08,52.5706,52.664,gill,8.93504,14.7135,3.185
2022-09-04/04:21:09,52.4694,52.4458,pina,9.00836,3.85732,1.588
2022-09-04/04:21:10,52.4694,52.4458,pina,9.00836,3.85732,1.588
2022-09-04/04:21:11,52.3737,52.4059,pina,9.07261,2.13571,1.254
2022-09-04/04:21:12,52.2869,52.3622,pina,9.44828,1.84489,1.156
2022-09-04/04:21:13,52.2869,52.3145,pina,9.44828,1.84489,1.156
2022-09-04/04:21:14,52.2,52.1558,pina,9.46442,1.41946,1.065
2022-09-04/04:21:15,52.1172,52.104,pina,9.44592,1.16505,1.065
2022-09-04/04:21:16,52.0413,52.0477,pina,9.78835,1.14754,1.065
2022-09-04/04:21:17,51.9647,51.9867,pina,9.72142,0.993688,1.043
2022-09-04/04:21:18,51.8948,51.9209,pina,10.044,0.807905,1.043
2022-09-04/04:21:19,51.8948,51.9209,pina,10.044,0.807905,1.043
2022-09-04/04:21:20,51.8232,51.8499,pina,9.92844,0.481932,0.95
2022-09-04/04:21:21,51.7585,51.7735,pina,10.2309,0.466395,0.95
2022-09-04/04:21:22,51.6304,51.5993,pina,10.3488,0.350921,0.95
2022-09-04/04:21:23,51.6304,51.5993,pina,10.3488,0.263502,0.95
2022-09-04/04:21:24,51.5089,51.5159,pina,10.3975,0.0972001,0.839
2022-09-04/04:21:25,51.4543,51.4263,pina,10.6528,0.08082,0.839
