model,time_utc,elfin_x_gsm_re,elfin_y_gsm_re,elfin_z_gsm_re,elfin_r_re,elfin_b_tot_nt,field_line_type,fp_north_x_gsm_re,fp_north_y_gsm_re,fp_north_z_gsm_re,fp_north_lat_deg,fp_north_lon_deg,fp_north_alt_km,fp_south_x_gsm_re,fp_south_y_gsm_re,fp_south_z_gsm_re,fp_south_lat_deg,fp_south_lon_deg,fp_south_alt_km,field_line_len_re,flux_tube_vol_re_nt,b_normal_north_nt,b_normal_south_nt,min_b_tot_nt
argus,2022-09-04T04:00:30Z,0.720689338140,-0.398588408930,0.642220019690,1.04437177075,50091.0590479,closed_100km,0.694216415078,-0.382800774637,0.633919538974,46.0750684311,88.9765663118,99.9998613692,0.713553596894,-0.360176788925,-0.627033901911,-30.9444891438,93.7278319871,99.9998921777,2.85283299840,0.000290292265382,-50998.8537586,48274.5944535,5334.05038964
argus,2022-09-04T04:00:31Z,0.720014009462,-0.398254040514,0.643180453999,1.04436945140,50112.9715810,closed_100km,0.693570439402,-0.382479683952,0.634813779518,46.1394078902,88.9653366252,99.9998613922,0.713005817900,-0.359752909545,-0.627894592401,-31.0065860915,93.7348964306,99.9998919277,2.86417766660,0.000293085355188,-51042.5909311,48313.4746101,5296.85125822
argus,2022-09-04T04:00:32Z,0.719337711381,-0.397919163344,0.644140092588,1.04436720671,50134.7960701,closed_100km,0.692923473719,-0.382158068116,0.635707338023,46.2037558180,88.9540869288,99.9998614167,0.712457250606,-0.359328394949,-0.628754591790,-31.0686850387,93.7419906716,99.9998916784,2.87557227187,0.000295910630330,-51086.1747704,48352.2525979,5260.32808265
argus,2022-09-04T04:00:33Z,0.718660438877,-0.397583687685,0.645098784598,1.04436490606,50156.5522777,closed_100km,0.692274199281,-0.381835172791,0.636602087406,46.2682483064,88.9428104295,99.9998614426,0.711909248456,-0.358904018721,-0.629611940046,-31.1306446443,93.7491045092,99.9998914304,2.88701555009,0.000298768162133,-51129.6982905,48390.8420080,5223.72957886
argus,2022-09-04T04:00:34Z,0.717982222252,-0.397247655422,0.646056679316,1.04436267843,50178.2207117,closed_100km,0.691625419594,-0.381512460477,0.637494123280,46.3326023966,88.9315309242,99.9998614698,0.711359394952,-0.358478360733,-0.630470162637,-31.1927191545,93.7562587479,99.9998911826,2.89850897998,0.000301658725082,-51172.9683423,48429.3999838,5187.19681859
argus,2022-09-04T04:00:35Z,0.717303005922,-0.396911072636,0.647013628951,1.04436039658,50199.8199827,closed_100km,0.690975732409,-0.381189249674,0.638385370558,46.3969575498,88.9202329730,99.9998614984,0.710808787445,-0.358052139527,-0.631327615402,-31.2547902399,93.7634396542,99.9998909356,2.91005184668,0.000304582427526,-51216.0799324,48467.8530487,5151.33615405
argus,2022-09-04T04:00:36Z,0.716622835863,-0.396573930670,0.647969705267,1.04435813317,50221.3390146,closed_100km,0.690325118660,-0.380865494563,0.639275876598,46.4613173760,88.9089187856,99.9998615285,0.710257212071,-0.357625162913,-0.632184645298,-31.3168829593,93.7706531695,99.9998906893,2.92164497609,0.000307539857970,-51259.0356759,48506.2176108,5115.02489544
argus,2022-09-04T04:00:37Z,0.715941712076,-0.396236229551,0.648924908244,1.04435588821,50242.7776603,closed_100km,0.689673578384,-0.380541195192,0.640165640798,46.5256819277,88.8975882771,99.9998615599,0.709705172080,-0.357197757353,-0.633040506082,-31.3789434727,93.7778932045,99.9998904438,2.93328842331,0.000310531468070,-51301.8355479,48544.4608057,5079.17272785
argus,2022-09-04T04:00:38Z,0.715259588586,-0.395897978002,0.649879166080,1.04435358886,50264.1467653,closed_100km,0.689021130519,-0.380216397408,0.641054615400,46.5900477423,88.8862390502,99.9998615927,0.709152357046,-0.356769745040,-0.633895645095,-31.4410041848,93.7851622483,99.9998901991,2.94498206855,0.000313557555437,-51344.4769522,48582.6027727,5043.77524707
argus,2022-09-04T04:00:39Z,0.714576509893,-0.395559133406,0.650832629196,1.04435134305,50285.4309907,closed_100km,0.688367724277,-0.379891004818,0.641942910928,46.6544231221,88.8748753925,99.9998616269,0.708598721341,-0.356341042771,-0.634750159090,-31.5030721018,93.7924641972,99.9998899551,2.95672780776,0.000316618973764,-51386.9658157,48620.6487450,5007.94544938
