time energy_keV flux_at_tel0_#/cm2-s-str flux_at_tel90 flux_error_at_tel0 flux_error_at_tel90 alt lat lon
 2022-09-04/04:21:36  40          0.00      68991.94      0.00     50.00  851.40   39.69  261.39
 2022-09-04/04:21:36 130          0.00      17326.39      0.00     23.00  851.40   39.69  261.39
 2022-09-04/04:21:36 287          0.00        133.33      0.00    103.00  851.40   39.69  261.39
 2022-09-04/04:21:36 612          0.00          0.00      0.00      0.00  851.40   39.69  261.39
 2022-09-04/04:21:38  40         80.65      80604.84    112.00     50.00  851.40   39.80  261.35
 2022-09-04/04:21:38 130         69.44      21631.94    102.00     23.00  851.40   39.80  261.35
 2022-09-04/04:21:38 287        133.33        133.33    103.00    103.00  851.40   39.80  261.35
 2022-09-04/04:21:38 612        181.82          0.00    124.00      0.00  851.40   39.80  261.35
 2022-09-04/04:21:40  40         80.65      80604.84    112.00     50.00  851.40   39.92  261.31
 2022-09-04/04:21:40 130          0.00      20520.83      0.00     23.00  851.40   39.92  261.31
 2022-09-04/04:21:40 287          0.00        266.67      0.00     75.00  851.40   39.92  261.31
 2022-09-04/04:21:40 612          0.00          0.00      0.00      0.00  851.40   39.92  261.31
 2022-09-04/04:21:42  40         80.65      80604.84    112.00     50.00  851.40   40.03  261.27
 2022-09-04/04:21:42 130          0.00      20520.83      0.00     23.00  851.40   40.03  261.27
 2022-09-04/04:21:42 287          0.00        533.33      0.00     56.00  851.40   40.03  261.27
 2022-09-04/04:21:42 612          0.00          0.00      0.00      0.00  851.40   40.03  261.27
 2022-09-04/04:21:44  40        241.94      85120.97     76.00     50.00  851.40   40.15  261.23
 2022-09-04/04:21:44 130        138.89      22743.05     74.00     23.00  851.40   40.15  261.23
 2022-09-04/04:21:44 287          0.00          0.00      0.00      0.00  851.40   40.15  261.23
 2022-09-04/04:21:44 612          0.00        363.64      0.00    101.00  851.40   40.15  261.23
 2022-09-04/04:21:46  40        161.29      80604.84     87.00     50.00  851.40   40.26  261.19
 2022-09-04/04:21:46 130         69.44      21631.94    102.00     23.00  851.40   40.26  261.19
 2022-09-04/04:21:46 287        133.33        133.33    103.00    103.00  851.40   40.26  261.19
 2022-09-04/04:21:46 612        181.82          0.00    124.00      0.00  851.40   40.26  261.19
 2022-09-04/04:21:48  40          0.00      85120.97      0.00     50.00  851.40   40.38  261.15
 2022-09-04/04:21:48 130          0.00      21631.94      0.00     23.00  851.40   40.38  261.15
 2022-09-04/04:21:48 287          0.00          0.00      0.00      0.00  851.40   40.38  261.15
 2022-09-04/04:21:48 612          0.00        181.82      0.00    124.00  851.40   40.38  261.15
 2022-09-04/04:21:50  40        161.29      85120.97     87.00     50.00  851.40   40.50  261.11
 2022-09-04/04:21:50 130         69.44      20520.83    102.00     23.00  851.40   40.50  261.11
 2022-09-04/04:21:50 287          0.00          0.00      0.00      0.00  851.40   40.50  261.11
 2022-09-04/04:21:50 612          0.00        181.82      0.00    124.00  851.40   40.50  261.11
 2022-09-04/04:21:52  40        483.87      90282.26     65.00     50.00  851.40   40.61  261.07
 2022-09-04/04:21:52 130        277.78      22743.05     55.00     23.00  851.40   40.61  261.07
 2022-09-04/04:21:52 287        266.67        266.67     75.00     75.00  851.40   40.61  261.07
 2022-09-04/04:21:52 612          0.00          0.00      0.00      0.00  851.40   40.61  261.07
 2022-09-04/04:21:54  40         80.65      95443.55    112.00     50.00  851.40   40.73  261.03
 2022-09-04/04:21:54 130          0.00      24965.28      0.00     23.00  851.40   40.73  261.03
 2022-09-04/04:21:54 287          0.00          0.00      0.00      0.00  851.40   40.73  261.03
 2022-09-04/04:21:54 612        181.82        181.82    124.00    124.00  851.40   40.73  261.03
 2022-09-04/04:21:56  40        241.94     100604.84     76.00     50.00  851.40   40.84  260.99
 2022-09-04/04:21:56 130        138.89      22743.05     74.00     23.00  851.40   40.84  260.99
 2022-09-04/04:21:56 287        133.33        266.67    103.00     75.00  851.40   40.84  260.99
 2022-09-04/04:21:56 612        181.82          0.00    124.00      0.00  851.40   40.84  260.99
 2022-09-04/04:21:58  40         80.65     100604.84    112.00     50.00  851.40   40.96  260.95
 2022-09-04/04:21:58 130         69.44      21631.94    102.00     23.00  851.40   40.96  260.95
 2022-09-04/04:21:58 287          0.00          0.00      0.00      0.00  851.40   40.96  260.95
 2022-09-04/04:21:58 612          0.00        181.82      0.00    124.00  851.40   40.96  260.95
 2022-09-04/04:22:00  40        322.58     110927.42     71.00     50.00  851.40   41.07  260.91
 2022-09-04/04:22:00 130        277.78      24965.28     55.00     23.00  851.40   41.07  260.91
 2022-09-04/04:22:00 287        400.00        266.67     63.00     75.00  851.40   41.07  260.91
 2022-09-04/04:22:00 612          0.00        181.82      0.00    124.00  851.40   41.07  260.91
 2022-09-04/04:22:02  40         80.65     110927.42    112.00     50.00  851.40   41.19  260.87
 2022-09-04/04:22:02 130         69.44      23854.17    102.00     23.00  851.40   41.19  260.87
 2022-09-04/04:22:02 287          0.00          0.00      0.00      0.00  851.40   41.19  260.87
 2022-09-04/04:22:02 612        545.45          0.00     93.00      0.00  851.40   41.19  260.87
 2022-09-04/04:22:04  40        161.29     121250.00     87.00     50.00  851.40   41.31  260.83
 2022-09-04/04:22:04 130         69.44      26076.39    102.00     23.00  851.40   41.31  260.83
 2022-09-04/04:22:04 287        133.33          0.00    103.00      0.00  851.40   41.31  260.83
 2022-09-04/04:22:04 612          0.00          0.00      0.00      0.00  851.40   41.31  260.83
 2022-09-04/04:22:06  40         80.65     126411.29    112.00     50.00  851.50   41.42  260.79
 2022-09-04/04:22:06 130         69.44      23854.17    102.00     23.00  851.50   41.42  260.79
 2022-09-04/04:22:06 287        133.33          0.00    103.00      0.00  851.50   41.42  260.79
 2022-09-04/04:22:06 612          0.00          0.00      0.00      0.00  851.50   41.42  260.79
 2022-09-04/04:22:08  40        161.29     131572.58     87.00     50.00  851.50   41.54  260.75
 2022-09-04/04:22:08 130        138.89      28298.61     74.00     23.00  851.50   41.54  260.75
 2022-09-04/04:22:08 287        133.33          0.00    103.00      0.00  851.50   41.54  260.75
 2022-09-04/04:22:08 612          0.00          0.00      0.00      0.00  851.50   41.54  260.75
 2022-09-04/04:22:10  40        161.29     126411.29     87.00     50.00  851.50   41.65  260.71
 2022-09-04/04:22:10 130        138.89      27187.50     74.00     23.00  851.50   41.65  260.71
 2022-09-04/04:22:10 287          0.00        133.33      0.00    103.00  851.50   41.65  260.71
 2022-09-04/04:22:10 612          0.00          0.00      0.00      0.00  851.50   41.65  260.71
 2022-09-04/04:22:12  40         80.65     138024.19    112.00     50.00  851.50   41.77  260.67
 2022-09-04/04:22:12 130          0.00      28298.61      0.00     23.00  851.50   41.77  260.67
 2022-09-04/04:22:12 287          0.00          0.00      0.00      0.00  851.50   41.77  260.67
 2022-09-04/04:22:12 612          0.00          0.00      0.00      0.00  851.50   41.77  260.67
 2022-09-04/04:22:14  40        161.29     138024.19     87.00     50.00  851.50   41.88  260.62
 2022-09-04/04:22:14 130        138.89      29687.50     74.00     23.00  851.50   41.88  260.62
 2022-09-04/04:22:14 287        133.33        133.33    103.00    103.00  851.50   41.88  260.62
 2022-09-04/04:22:14 612          0.00        181.82      0.00    124.00  851.50   41.88  260.62
 2022-09-04/04:22:16  40        161.29     138024.19     87.00     50.00  851.50   42.00  260.58
 2022-09-04/04:22:16 130          0.00      29687.50      0.00     23.00  851.50   42.00  260.58
 2022-09-04/04:22:16 287          0.00        133.33      0.00    103.00  851.50   42.00  260.58
 2022-09-04/04:22:16 612        181.82          0.00    124.00      0.00  851.50   42.00  260.58
 2022-09-04/04:22:18  40        322.58     138024.19     71.00     50.00  851.50   42.11  260.54
 2022-09-04/04:22:18 130         69.44      33020.83    102.00     23.00  851.50   42.11  260.54
